Date : 2022-08-18 11:32:20
Directory : d:\Coding\unified-bookmarks-web
Total : 81 files,  12543 codes, 235 comments, 1807 blanks, all 14585 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Coding\unified-bookmarks-web\prisma\migrations\20220224172159_init\migration.sql                           | SQL                |         24 |          7 |          9 |         40 |
| d:\Coding\unified-bookmarks-web\prisma\migrations\20220809105323_teams_migration\migration.sql                | SQL                |         32 |         18 |         14 |         64 |
| d:\Coding\unified-bookmarks-web\prisma\migrations\20220809112113_remove_user_id\migration.sql                 | SQL                |          1 |          7 |          1 |          9 |
| d:\Coding\unified-bookmarks-web\prisma\migrations\20220809154729_join_code\migration.sql                      | SQL                |          2 |          9 |          2 |         13 |
| d:\Coding\unified-bookmarks-web\prisma\migrations\20220809170319_banned_users\migration.sql                   | SQL                |          8 |          5 |          5 |         18 |
| d:\Coding\unified-bookmarks-web\prisma\migrations\20220813092807_bookmark_name_link_unique\migration.sql      | SQL                |          3 |         11 |          3 |         17 |
| d:\Coding\unified-bookmarks-web\prisma\migrations\20220813095958_rmeove_link_unique_connstraint\migration.sql | SQL                |          1 |          1 |          1 |          3 |
| d:\Coding\unified-bookmarks-web\prisma\migrations\20220817201049_\migration.sql                               | SQL                |          2 |          8 |          2 |         12 |
| d:\Coding\unified-bookmarks-web\prisma\schema.prisma                                                          | Prisma             |         48 |          0 |         15 |         63 |
| d:\Coding\unified-bookmarks-web\prisma\seed.js                                                                | JavaScript         |         28 |         10 |         10 |         48 |
| d:\Coding\unified-bookmarks-web\remix.config.js                                                               | JavaScript         |          4 |          3 |          1 |          8 |
| d:\Coding\unified-bookmarks-web\remix.env.d.ts                                                                | TypeScript         |          0 |          2 |          1 |          3 |
| d:\Coding\unified-bookmarks-web\server.ts                                                                     | TypeScript         |         70 |         17 |         19 |        106 |
| d:\Coding\unified-bookmarks-web\tailwind.config.js                                                            | JavaScript         |         61 |          1 |          2 |         64 |
| d:\Coding\unified-bookmarks-web\test\setup-test-env.ts                                                        | TypeScript         |          3 |          0 |          2 |          5 |
| d:\Coding\unified-bookmarks-web\tsconfig.json                                                                 | JSON with Comments |         19 |          8 |          0 |         27 |
| d:\Coding\unified-bookmarks-web\vitest.config.ts                                                              | TypeScript         |         17 |          2 |          3 |         22 |
| d:\Coding\unified-bookmarks-web\yarn-error.log                                                                | Log                |      8,122 |          0 |      1,259 |      9,381 |
| Total                                                                                                         |                    |     12,543 |        235 |      1,807 |     14,585 |
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
